beta,seed,method,inst_id,rule,alone,plus_sup,rule_sup,oracle
1.0,303,m2a,c09_storm2_w80_u100_0026.json,5006.202000,3212.278400,2854.482800,4109.313600,1938.243600
1.0,303,m2a,c09_storm2_w80_u100_0027.json,2535.368000,2054.737600,1828.358800,2061.197200,1685.882800
1.0,303,m2a,c09_storm2_w80_u100_0028.json,2083.722400,1376.942800,1363.843200,2021.848800,1316.495200
1.0,303,m2a,c09_storm2_w80_u100_0029.json,4540.255600,3709.006800,2290.056400,2328.602400,1226.778800
1.0,301,m0,c09_storm2_w80_u100_0020.json,2113.920800,1685.812000,1639.239200,1974.308800,1660.290800
1.0,301,m0,c09_storm2_w80_u100_0021.json,2468.501600,2127.064800,2140.574400,2425.110000,2178.691200
1.0,301,m0,c09_storm2_w80_u100_0022.json,1216.011200,973.572400,977.068400,1099.216000,991.862400
1.0,301,m0,c09_storm2_w80_u100_0023.json,5676.362400,2775.650800,2608.315200,4018.612400,2621.206400
1.0,301,m0,c09_storm2_w80_u100_0024.json,4396.206800,2358.705600,1994.484000,2834.593600,1996.894800
1.0,301,m0,c09_storm2_w80_u100_0025.json,6411.756400,2979.735200,2520.513600,4054.931600,2533.840800
1.0,301,m0,c09_storm2_w80_u100_0026.json,5006.202000,2086.948000,2038.843600,4109.313600,1938.243600
1.0,301,m0,c09_storm2_w80_u100_0027.json,2535.368000,1799.105600,1676.946000,2061.197200,1685.882800
1.0,301,m0,c09_storm2_w80_u100_0028.json,2083.722400,1302.152400,1302.480800,2021.848800,1316.495200
1.0,301,m0,c09_storm2_w80_u100_0029.json,4540.255600,1888.186400,1415.808400,2328.602400,1226.778800
1.0,301,m2t,c09_storm2_w80_u100_0020.json,2113.920800,1808.272800,1692.816400,1974.308800,1660.290800
1.0,301,m2t,c09_storm2_w80_u100_0021.json,2468.501600,2158.043200,2153.151600,2425.110000,2178.691200
1.0,301,m2t,c09_storm2_w80_u100_0022.json,1216.011200,1054.651600,1032.859600,1099.216000,991.862400
1.0,301,m2t,c09_storm2_w80_u100_0023.json,5676.362400,4337.612800,3196.116400,4018.612400,2621.206400
1.0,301,m2t,c09_storm2_w80_u100_0024.json,4396.206800,3400.928000,2618.012800,2834.593600,1996.894800
1.0,301,m2t,c09_storm2_w80_u100_0025.json,6411.756400,4582.551200,3182.842800,4054.931600,2533.840800
1.0,301,m2t,c09_storm2_w80_u100_0026.json,5006.202000,3523.881600,3060.887200,4109.313600,1938.243600
1.0,301,m2t,c09_storm2_w80_u100_0027.json,2535.368000,2017.548800,1858.232800,2061.197200,1685.882800
1.0,301,m2t,c09_storm2_w80_u100_0028.json,2083.722400,1330.304800,1336.500800,2021.848800,1316.495200
1.0,301,m2t,c09_storm2_w80_u100_0029.json,4540.255600,3676.508800,1916.130800,2328.602400,1226.778800
1.0,301,m2a,c09_storm2_w80_u100_0020.json,2113.920800,1854.761600,1746.773200,1974.308800,1660.290800
1.0,301,m2a,c09_storm2_w80_u100_0021.json,2468.501600,2172.288000,2159.452400,2425.110000,2178.691200
1.0,301,m2a,c09_storm2_w80_u100_0022.json,1216.011200,1014.926800,997.669600,1099.216000,991.862400
1.0,301,m2a,c09_storm2_w80_u100_0023.json,5676.362400,4449.148800,3101.416000,4018.612400,2621.206400
1.0,301,m2a,c09_storm2_w80_u100_0024.json,4396.206800,3572.864400,2510.043600,2834.593600,1996.894800
1.0,301,m2a,c09_storm2_w80_u100_0025.json,6411.756400,4660.389200,2991.335600,4054.931600,2533.840800
1.0,301,m2a,c09_storm2_w80_u100_0026.json,5006.202000,3409.059600,3035.461200,4109.313600,1938.243600
1.0,301,m2a,c09_storm2_w80_u100_0027.json,2535.368000,2030.094000,1838.537600,2061.197200,1685.882800
1.0,301,m2a,c09_storm2_w80_u100_0028.json,2083.722400,1359.157600,1350.570400,2021.848800,1316.495200
