campus,track,size,alpha,inst_id,n_bldg,n_restr_bldg,n_restr_jobs,rule_rec,rule_access,rule_twt,rule_feas,reorder_twt,reorder_access,reorder_feas,defer_twt,defer_rec,defer_access,defer_feas
5,replay,150,0.2,c05_replay_150_0077,73,13,20,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0078,71,10,23,0.0,576.0,576.0,True,576.0,576.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0078,71,19,42,0.0,1024.0,1024.0,True,1024.0,1024.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0079,73,5,7,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0079,73,9,13,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0080,69,10,15,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0080,69,15,25,0.0,512.0,512.0,True,512.0,512.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0081,70,9,17,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0081,70,18,33,0.0,384.0,384.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0082,68,3,6,0.0,128.0,128.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0082,68,9,25,0.0,576.0,576.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0083,66,9,18,0.0,640.0,640.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0083,66,14,31,0.0,640.0,640.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0084,75,7,15,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0084,75,12,27,0.0,576.0,576.0,True,576.0,576.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0085,75,10,23,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0085,75,15,39,0.0,576.0,576.0,True,576.0,576.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0086,45,3,3,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0086,45,6,8,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0087,79,8,11,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0087,79,12,17,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0088,65,4,8,0.0,128.0,128.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0088,65,10,19,0.0,320.0,320.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0089,70,4,10,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0089,70,5,11,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0090,74,4,6,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0090,74,17,31,0.0,576.0,576.0,True,576.0,576.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0091,71,6,11,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0091,71,15,25,0.0,576.0,576.0,True,576.0,576.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0092,70,4,10,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
