campus,track,level,rule,beta,inst_id,twt_rule,twt_oracle
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0010,3.6590,3.6590
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0010,0.0000,0.0000
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0010,0.0000,0.0000
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0011,10.6200,10.6200
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0011,10.6200,10.6200
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0011,43.2170,43.2170
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0011,43.2170,43.2170
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0012,31.0928,31.0928
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0012,31.0928,31.0928
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0012,31.8995,31.8995
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0012,31.8995,31.8995
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0013,0.0000,0.0000
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0013,0.0000,0.0000
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0013,0.0000,0.0000
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0013,0.0000,0.0000
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0014,1.8754,1.8754
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0014,1.8754,1.8754
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0014,1.8754,1.8754
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0014,1.8754,1.8754
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0015,1.5742,1.5742
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0015,1.5742,1.5742
5,storm,a150_c100,atc,1.0,c05_storm_150_a150_c100_0015,0.0000,0.0000
5,storm,a150_c100,edd,1.0,c05_storm_150_a150_c100_0015,0.0000,0.0000
5,storm,a150_c100,atc,0.5,c05_storm_150_a150_c100_0016,0.0000,0.0000
5,storm,a150_c100,edd,0.5,c05_storm_150_a150_c100_0016,0.0000,0.0000
