scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct,wins,ties,losses
campus,5,pmmix/150/p20_c60,atc,0.5,30,10.6008,10.3416,0.2592,2.4448,1,29,0
campus,9,pmmix/150/p20_c60,atc,0.5,30,165.5989,165.5989,0.0000,0.0000,0,30,0
campus,10,pmmix/150/p20_c60,atc,0.5,30,68.1951,68.1951,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p20_c60,atc,0.5,30,447.4700,447.4700,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p20_c60,atc,0.5,60,306.5345,306.5345,0.0000,0.0000,0,60,0
campus,5,pmmix/150/p20_c60,atc,1.0,30,13.7106,13.7106,0.0000,0.0000,0,30,0
campus,9,pmmix/150/p20_c60,atc,1.0,30,169.5453,169.5453,0.0000,0.0000,0,30,0
campus,10,pmmix/150/p20_c60,atc,1.0,30,70.1490,70.1490,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p20_c60,atc,1.0,30,361.2415,361.2415,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p20_c60,atc,1.0,60,265.3934,265.3934,0.0000,0.0000,0,60,0
campus,5,pmmix/150/p20_c60,edd,0.5,30,10.4744,10.1116,0.3629,3.4642,2,28,0
campus,9,pmmix/150/p20_c60,edd,0.5,30,165.5989,165.5989,0.0000,0.0000,0,30,0
campus,10,pmmix/150/p20_c60,edd,0.5,30,68.1951,68.1951,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p20_c60,edd,0.5,30,447.4700,447.4700,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p20_c60,edd,0.5,60,306.5345,306.5345,0.0000,0.0000,0,60,0
campus,5,pmmix/150/p20_c60,edd,1.0,30,13.7952,13.4602,0.3350,2.4282,1,29,0
campus,9,pmmix/150/p20_c60,edd,1.0,30,169.5453,169.5453,0.0000,0.0000,0,30,0
campus,10,pmmix/150/p20_c60,edd,1.0,30,70.1490,70.1490,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p20_c60,edd,1.0,30,361.2415,361.2415,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p20_c60,edd,1.0,60,265.3934,265.3934,0.0000,0.0000,0,60,0
campus,5,pmmix/150/p50_c60,atc,0.5,30,4.4291,4.4160,0.0132,0.2971,0,30,0
campus,9,pmmix/150/p50_c60,atc,0.5,30,142.7767,142.8170,-0.0403,-0.0282,0,29,1
campus,10,pmmix/150/p50_c60,atc,0.5,30,24.6592,24.6592,0.0000,0.0000,0,30,0
campus,12,pmmix/150/p50_c60,atc,0.5,30,224.1632,224.1632,0.0000,0.0000,0,30,0
pooled_loaded,9+12,pmmix/150/p50_c60,atc,0.5,60,183.4699,183.4901,-0.0202,-0.0110,0,59,1
