part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0020,1983,0.9084584217171718,1.215525144345238,0,2177.667200,1459.928800,1504.394400,2154.681600,1463.176000,0.2502,0.0315,0.2502,0.0484
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0021,1983,0.9084584217171718,1.215525144345238,0,1754.070800,1711.283200,1724.693600,1719.228400,1711.391200,0.2496,0.0199,0.2473,0.0033
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0022,1983,0.9084584217171718,1.215525144345238,0,1255.530000,1202.207600,1218.304800,1245.562400,1201.691600,0.2492,0.0158,0.2476,0.0063
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0023,1983,0.9084584217171718,1.215525144345238,0,1251.113600,1191.750000,1185.189600,1242.408800,1185.377200,0.2490,0.0281,0.2477,0.0063
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0024,1983,0.9084584217171718,1.215525144345238,0,2040.184000,1425.160400,1434.189200,1727.396400,1432.006800,0.2500,0.0505,0.2497,0.0080
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0025,1983,0.9084584217171718,1.215525144345238,0,1653.087600,1564.354400,1550.068000,1621.426000,1564.370400,0.2492,0.0097,0.2490,0.0032
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0026,1983,0.9084584217171718,1.215525144345238,0,1769.389600,1286.770800,1308.659600,1655.275200,1289.735200,0.2504,0.0250,0.2424,0.0097
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0027,1983,0.9084584217171718,1.215525144345238,0,1752.833600,909.309600,803.994000,1041.454800,838.866000,0.2502,0.0991,0.2496,0.0240
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0028,1983,0.9084584217171718,1.215525144345238,0,804.369600,714.086000,730.334800,778.310000,721.081200,0.2494,0.0301,0.2490,0.0034
B,e3,9,storm2,90,,1.0,0.25,302,c09_storm2_w80_u90_0029,1983,0.9084584217171718,1.215525144345238,0,3061.778400,2795.002400,2856.388000,3003.177600,2804.040000,0.2504,0.0262,0.2480,0.0058
B,e3,9,storm2,90,,1.0,0.25,303,c09_storm2_w80_u90_0020,1983,0.9084584217171718,1.215525144345238,0,2177.667200,1442.505200,1504.394400,2154.681600,1463.216000,0.2502,0.0315,0.2504,0.0381
