scope,campus,cell,sigma_s,beta,wtag,n,mean_rule,mean_oracle,abs_gap,pct_gap,wins,ties,losses
campus,5,pmmix150_p20_c60,1.0,0.75,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,1.0,0.75,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,1.0,0.75,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,1.0,1.0,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,1.0,1.0,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,1.0,1.0,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,2.0,0.5,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,2.0,0.5,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,2.0,0.5,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,2.0,0.75,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,2.0,0.75,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,2.0,0.75,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,2.0,1.0,w8421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,2.0,1.0,w16421,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix150_p20_c60,2.0,1.0,w27931,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,1.0,0.5,w8421,30,12.1044,12.1044,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,1.0,0.5,w16421,30,12.3796,12.3796,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,1.0,0.5,w27931,30,27.5445,27.5445,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,1.0,0.75,w8421,30,23.9334,23.9334,0.0000,0.0000,0,30,0
campus,10,storm150_a300_c80,1.0,0.75,w16421,30,47.8669,47.8669,0.0000,0.0000,0,30,0
