scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses,util_pooled,util_worst,incomplete_at_horizon,mean_nlate_rule
campus,5,pmmix_p50_c60,edd,0.5,30,101.3211,95.7403,5.5809,5.5081,5,25,0,0.4254,0.8364,34.17,-1.00
campus,5,pmmix_p50_c100,edd,0.5,30,61.2380,61.2380,0.0000,0.0000,0,30,0,0.2531,0.4550,30.97,-1.00
campus,5,pmmix_p80_c60,edd,0.5,30,56.9324,51.0359,5.8965,10.3570,2,28,0,0.4343,0.8035,34.47,-1.00
campus,5,pmmix_p80_c100,edd,0.5,30,49.4021,49.4021,0.0000,0.0000,0,30,0,0.2583,0.4617,31.57,-1.00
campus,5,gen400_default,edd,0.5,40,80.3636,80.3636,0.0000,0.0000,0,40,0,0.2540,0.5333,31.10,-1.00
campus,5,pmmix_c60_poolpm,edd,0.5,90,145.3005,125.5771,19.7233,13.5742,14,75,1,0.4278,0.8574,34.74,-1.00
campus,5,pmmix_c100_poolpm,edd,0.5,90,77.5079,77.4574,0.0505,0.0652,1,89,0,0.2545,0.4718,31.18,-1.00
campus,10,pmmix_p20_c60,edd,0.5,30,296.4816,296.4816,0.0000,0.0000,0,30,0,0.0941,0.1768,9.90,-1.00
campus,10,pmmix_p20_c100,edd,0.5,30,309.2187,309.2187,0.0000,0.0000,0,30,0,0.0556,0.1062,9.90,-1.00
campus,10,pmmix_p50_c60,edd,0.5,30,173.5717,173.5717,0.0000,0.0000,0,30,0,0.0928,0.1988,10.47,-1.00
campus,10,pmmix_p50_c100,edd,0.5,30,135.1871,135.1871,0.0000,0.0000,0,30,0,0.0549,0.1152,10.47,-1.00
campus,10,pmmix_p80_c60,edd,0.5,30,53.1223,53.1223,0.0000,0.0000,0,30,0,0.0948,0.1739,10.37,-1.00
campus,10,pmmix_p80_c100,edd,0.5,30,32.3167,32.3167,0.0000,0.0000,0,30,0,0.0560,0.1036,10.37,-1.00
campus,10,gen400_default,edd,0.5,40,52.6452,52.6452,0.0000,0.0000,0,40,0,0.0544,0.1113,8.62,-1.00
campus,10,pmmix_c60_poolpm,edd,0.5,90,174.3919,174.3919,0.0000,0.0000,0,90,0,0.0939,0.1831,10.24,-1.00
campus,10,pmmix_c100_poolpm,edd,0.5,90,158.9075,158.9075,0.0000,0.0000,0,90,0,0.0555,0.1083,10.24,-1.00
pooled_loaded,9+12,pmmix_p20_c60,edd,0.5,60,1117.3795,1114.7064,2.6731,0.2392,10,49,1,0.5249,0.9373,48.85,-1.00
pooled_loaded,9+12,pmmix_p20_c100,edd,0.5,60,1102.1273,1102.1273,0.0000,0.0000,0,60,0,0.3166,0.5636,47.08,-1.00
pooled_loaded,9+12,pmmix_p50_c60,edd,0.5,60,669.0863,668.9186,0.1676,0.0250,1,59,0,0.5300,0.9045,49.70,-1.00
pooled_loaded,9+12,pmmix_p50_c100,edd,0.5,60,635.8336,635.8336,0.0000,0.0000,0,60,0,0.3197,0.5475,48.12,-1.00
pooled_loaded,9+12,pmmix_p80_c60,edd,0.5,60,378.3092,377.9500,0.3592,0.0949,3,56,1,0.5360,0.9131,49.92,-1.00
pooled_loaded,9+12,pmmix_p80_c100,edd,0.5,60,376.9755,376.9755,0.0000,0.0000,0,60,0,0.3233,0.5436,48.78,-1.00
pooled_loaded,9+12,gen400_default,edd,0.5,80,819.8619,819.8619,0.0000,0.0000,0,80,0,0.3207,0.5697,46.06,-1.00
pooled_loaded,9+12,pmmix_c60_poolpm,edd,0.5,180,721.5916,720.5250,1.0666,0.1478,14,164,2,0.5303,0.9183,49.49,-1.00
pooled_loaded,9+12,pmmix_c100_poolpm,edd,0.5,180,704.9788,704.9788,0.0000,0.0000,0,180,0,0.3198,0.5515,47.99,-1.00
pooled_all,5+9+10+12,pmmix_c60_poolpm,edd,0.5,360,440.7189,435.2547,5.4642,1.2398,28,329,3,0.3956,0.7193,35.99,-1.00
pooled_all,5+9+10+12,pmmix_c100_poolpm,edd,0.5,360,411.5933,411.5806,0.0126,0.0031,1,359,0,0.2374,0.4208,34.35,-1.00
campus,9,pmmix_p20_c60,edd,1.0,30,852.9659,852.0368,0.9291,0.1089,3,27,0,0.2717,0.4528,17.50,-1.00
campus,9,pmmix_p20_c100,edd,1.0,30,847.4565,847.4565,0.0000,0.0000,0,30,0,0.1647,0.2732,17.37,-1.00
campus,9,pmmix_p50_c60,edd,1.0,30,468.2730,468.2730,0.0000,0.0000,0,30,0,0.2711,0.4269,18.87,-1.00
campus,9,pmmix_p50_c100,edd,1.0,30,467.3056,467.3056,0.0000,0.0000,0,30,0,0.1643,0.2651,18.83,-1.00
campus,9,pmmix_p80_c60,edd,1.0,30,282.1005,282.2210,-0.1204,-0.0427,0,28,2,0.2777,0.4515,19.50,-1.00
campus,9,pmmix_p80_c100,edd,1.0,30,280.4097,280.4097,0.0000,0.0000,0,30,0,0.1683,0.2671,19.33,-1.00
campus,9,gen400_default,edd,1.0,40,242.0357,242.0357,0.0000,0.0000,0,40,0,0.1658,0.2803,16.70,-1.00
campus,9,pmmix_c60_poolpm,edd,1.0,90,534.4465,534.1769,0.2696,0.0504,3,85,2,0.2735,0.4437,18.62,-1.00
campus,9,pmmix_c100_poolpm,edd,1.0,90,531.7239,531.7239,0.0000,0.0000,0,90,0,0.1658,0.2685,18.51,-1.00
campus,12,pmmix_p20_c60,edd,1.0,30,1241.5161,1240.5911,0.9250,0.0745,4,24,2,0.7781,1.4217,80.20,-1.00
campus,12,pmmix_p20_c100,edd,1.0,30,1232.7980,1232.7980,0.0000,0.0000,0,30,0,0.4685,0.8539,76.80,-1.00
campus,12,pmmix_p50_c60,edd,1.0,30,726.3764,725.1542,1.2222,0.1683,3,26,1,0.7888,1.3821,80.53,-1.00
campus,12,pmmix_p50_c100,edd,1.0,30,723.5779,723.5779,0.0000,0.0000,0,30,0,0.4750,0.8298,77.40,-1.00
campus,12,pmmix_p80_c60,edd,1.0,30,352.8500,353.0256,-0.1756,-0.0498,1,28,1,0.7943,1.3747,80.33,-1.00
