campus,track,cell,rule,beta,inst_id,n_wo,n_crew,window_bh,util_pooled,util_worst,worst_trade,incomplete_at_horizon,makespan,twt_rule,twt_oracle,nlate_rule,nlate_oracle
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0020,400,60,84.0839,0.2767,0.4451,D20,21,117.8739,988.2552,988.2552,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0020,400,60,84.0839,0.2767,0.4451,D20,21,117.8739,1028.3152,1028.3152,16,16
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0020,400,60,84.0839,0.2767,0.4451,D20,21,117.8739,1028.3152,1028.3152,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0021,400,60,89.0405,0.2269,0.3600,B20,12,102.5513,502.3840,502.3840,15,15
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0021,400,60,89.0405,0.2269,0.3600,B20,12,102.5513,502.3840,502.3840,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0021,400,60,89.0405,0.2269,0.3600,B20,12,102.5513,506.9816,506.9816,16,16
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0021,400,60,89.0405,0.2269,0.3600,B20,12,102.5513,506.9816,506.9816,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0021,400,60,89.0405,0.2269,0.3600,B20,12,102.5513,353.3752,353.3752,16,16
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0021,400,60,89.0405,0.2269,0.3600,B20,12,102.5513,353.3752,353.3752,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0022,400,60,85.6824,0.2884,0.4415,D50,16,100.7269,640.4256,640.4256,12,12
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0022,400,60,85.6824,0.2884,0.4415,D50,16,100.7269,640.4256,640.4256,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0022,400,60,85.6824,0.2884,0.4415,D50,16,100.7269,625.5552,625.5552,12,12
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0022,400,60,85.6824,0.2884,0.4415,D50,16,100.7269,625.5552,625.5552,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0022,400,60,85.6824,0.2884,0.4415,D50,16,100.7269,863.3032,863.3032,15,15
