source,campus,crew_m,beta,inst_id,pooled_u,worst_u,incomplete,rec_atc,or_atc,pred_atc,rec_port,true_port,pred_port,rec_ga,true_ga,pred_ga,rulesup,rev_frac,or_rate
replay,9,0.35,0.25,c09_replay_400_0011,4.681281173338741,13.675178226627773,249,3142.5335999999998,170.8,372.8,482.8,162.8,372.8,1580.5332,156.0,1206.0664,1147.5336,0.2506393861892583,0.20408163265306123
replay,9,0.35,0.5,c09_replay_400_0011,4.681281173338741,13.675178226627773,249,4330.0336,176.8,614.8,718.8,162.8,614.8,2412.9328,156.0,874.1328,2643.5335999999998,0.2506393861892583,0.24489795918367346
replay,9,0.35,1.0,c09_replay_400_0011,4.681281173338741,13.675178226627773,249,1609.0336,826.8,826.8,958.8,826.8,826.8,2984.6000000000004,802.0,802.0,1609.0336,0.2506393861892583,0.0
replay,9,0.35,0.0,c09_replay_400_0012,1.5896990740740742,3.4270833333333335,269,670.1336,353.0,670.1336,670.1336,351.1336,670.1336,675.0,347.0,675.0,422.5,0.2457627118644068,0.04597701149425287
replay,9,0.35,0.25,c09_replay_400_0012,1.5896990740740742,3.4270833333333335,269,672.1336,260.0,672.0,672.1336,252.1336,559.5,692.0,248.0,707.4331999999999,352.5,0.24858757062146894,0.045454545454545456
replay,9,0.35,0.5,c09_replay_400_0012,1.5896990740740742,3.4270833333333335,269,564.8,351.6664,564.6664000000001,564.8,351.6664,564.6664000000001,553.0,337.0,1255.6336000000001,380.6664,0.24507042253521127,0.022988505747126436
replay,9,0.35,1.0,c09_replay_400_0012,1.5896990740740742,3.4270833333333335,269,377.9336,400.8,400.8,377.9336,396.8,396.8,393.66679999999997,340.0,340.0,363.9336,0.24788732394366197,0.03409090909090909
replay,9,0.35,0.0,c09_replay_400_0013,4.467013888888889,9.890625,255,18.0,0.0,18.0,10.0,0.0,10.0,283.0,0.0,283.0,0.0,0.24804177545691905,0.010526315789473684
replay,9,0.35,0.25,c09_replay_400_0013,4.467013888888889,9.890625,255,261.5,15.999999999999986,508.0,261.5,15.999999999999986,235.5,697.0,15.999999999999986,767.0,119.99999999999999,0.2506527415143603,0.10416666666666667
replay,9,0.35,0.5,c09_replay_400_0013,4.467013888888889,9.890625,255,832.5,15.999999999999986,1287.0,828.0,15.999999999999986,773.0,1568.0,15.999999999999986,921.0,649.0,0.24804177545691905,0.15789473684210525
replay,9,0.35,1.0,c09_replay_400_0013,4.467013888888889,9.890625,255,3004.0,1857.0,1857.0,2992.0,1857.0,1857.0,3863.0,1668.0,1668.0,2992.0,0.2506527415143603,0.010416666666666666
replay,9,0.35,0.0,c09_replay_400_0014,0.9497544425459608,1.6954484743789477,81,365.8962,246.3626,365.8962,269.629,215.36260000000001,269.629,435.19720000000007,201.7296,435.19720000000007,261.36260000000004,0.234375,0.05333333333333334
replay,9,0.35,0.25,c09_replay_400_0014,0.9497544425459608,1.6954484743789477,81,871.9996000000001,511.86600000000004,547.3328,666.2660000000001,492.666,519.066,1046.4008,397.0,1253.8667999999998,699.7328000000001,0.24921135646687698,0.08860759493670886
replay,9,0.35,0.5,c09_replay_400_0014,0.9497544425459608,1.6954484743789477,81,875.9996000000001,533.866,550.1996,672.2660000000001,511.99960000000004,516.9323999999999,1054.4008,397.0,809.7332,612.2660000000002,0.24605678233438485,0.11538461538461539
replay,9,0.35,1.0,c09_replay_400_0014,0.9497544425459608,1.6954484743789477,81,1079.2,668.1996000000001,668.1996000000001,703.466,662.3324,662.3324,1394.0007999999998,624.0,624.0,843.1996000000001,0.24605678233438485,0.11538461538461539
replay,9,0.35,0.0,c09_replay_400_0015,1.4122183333333334,3.01875,93,1123.3932,980.9920000000001,1123.3932,1123.3932,958.6587999999999,1123.3932,972.7596,777.4592,972.7596,1048.1260000000002,0.24096385542168675,0.0625
