cell,tag,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0028,1488.968400,1362.670800,1305.573600,1191.152800,1174.773600,0.249207,0.050891,0.247944,0.040816
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,309,c09_storm2_w80_u100_0029,2294.863600,1370.337600,1901.137200,1186.504400,1059.860800,0.241265,0.075862,0.249861,0.048780
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0020,1473.651200,1454.358400,1364.873600,1286.770800,1177.979600,0.249253,0.059952,0.248510,0.052758
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0021,1519.953200,1430.714400,1528.448800,1420.862000,1348.460800,0.248820,0.059621,0.247138,0.046322
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0022,936.385600,926.554400,914.209200,872.971200,873.416000,0.249833,0.016043,0.250497,0.037037
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0023,4099.384400,3015.776000,3493.022000,2721.526000,2308.195200,0.244850,0.139423,0.244002,0.122302
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0024,1943.420000,1499.359600,1821.804400,1301.652000,1285.333600,0.247631,0.061224,0.250158,0.047859
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0025,3707.412000,2500.523200,3440.141200,2287.435600,1896.992800,0.250422,0.112360,0.249719,0.069820
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0026,3150.937600,2109.815200,2632.238000,2059.928000,1851.407200,0.242049,0.099757,0.242908,0.090024
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0027,1808.482000,1479.807600,1511.740400,1378.814000,1322.403200,0.245092,0.056848,0.243995,0.036269
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0028,1488.968400,1362.670800,1428.011200,1213.127600,1174.773600,0.249207,0.050891,0.247298,0.035990
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,310,c09_storm2_w80_u100_0029,2294.863600,1370.337600,2077.169200,1177.765200,1059.860800,0.241265,0.075862,0.244457,0.052154
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0020,1473.651200,1481.237600,1391.882800,1329.318000,1177.979600,0.249253,0.172662,0.248517,0.150358
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0021,1519.953200,1463.768400,1516.192800,1403.033600,1348.460800,0.249158,0.164865,0.247478,0.160326
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0022,936.385600,918.010400,891.246000,923.022800,873.416000,0.250498,0.108753,0.250496,0.124011
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0023,4099.384400,2957.268800,3796.358400,3100.281200,2308.195200,0.245006,0.304556,0.250293,0.283372
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0024,1943.420000,1392.458400,1694.086800,1374.274800,1285.333600,0.246212,0.192308,0.250466,0.158809
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0025,3707.412000,2619.715600,3483.100400,2609.460400,1896.992800,0.250141,0.193694,0.250282,0.189189
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0026,3150.937600,2233.247200,3040.516400,1993.689600,1851.407200,0.242353,0.194175,0.244910,0.187648
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0027,1808.482000,1511.080000,1609.634800,1370.354400,1322.403200,0.245558,0.173127,0.249685,0.148990
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0028,1488.968400,1434.598400,1579.541200,1403.935600,1174.773600,0.250000,0.175573,0.250158,0.174242
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,301,c09_storm2_w80_u100_0029,2294.863600,1282.497200,2048.201600,1456.867600,1059.860800,0.242391,0.157534,0.249448,0.157080
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0020,1473.651200,1422.817200,1413.484400,1299.843600,1177.979600,0.249851,0.177033,0.247919,0.163070
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0021,1519.953200,1459.531200,1425.757600,1422.003200,1348.460800,0.249494,0.140541,0.248826,0.115903
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0022,936.385600,886.426400,920.002000,875.650000,873.416000,0.250000,0.131016,0.250000,0.118421
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0023,4099.384400,3267.851200,4046.190400,2908.378400,2308.195200,0.246769,0.242857,0.250000,0.242991
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0024,1943.420000,1468.635200,1817.326000,1372.318800,1285.333600,0.248737,0.164975,0.250000,0.165829
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0025,3707.412000,2608.940800,3305.650400,2363.860000,1896.992800,0.250000,0.200450,0.250140,0.189732
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0026,3150.937600,2208.205200,2854.176000,2194.063200,1851.407200,0.242941,0.196126,0.241118,0.157005
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0027,1808.482000,1490.126000,1526.568000,1313.970000,1322.403200,0.246992,0.176923,0.250473,0.146096
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0028,1488.968400,1392.945200,1339.230800,1303.088400,1174.773600,0.250000,0.136709,0.248116,0.129114
c9_storm2_u100_b0.20_r0.25_eps0.25,B,9,100,0.2,0.25,0.25,302,c09_storm2_w80_u100_0029,2294.863600,1442.120000,1945.512800,1410.011600,1059.860800,0.240710,0.218894,0.250138,0.211921
