decider_channel,campus,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,m0_sup,rule_sup,oracle,m0_final_r,m0_final_orr
full_class_shift,9,90,1.0,0.25,301,c09_storm2_w80_u90_0029,1983,3061.778400,2862.777600,2877.221600,3003.177600,2856.388000,0.2913,0.0145
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0020,1983,2177.667200,1459.928800,1463.176000,2154.681600,1504.394400,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0021,1983,1754.070800,1711.283200,1711.391200,1719.228400,1724.693600,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0022,1983,1255.530000,1202.207600,1201.691600,1245.562400,1218.304800,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0023,1983,1251.113600,1191.750000,1185.377200,1242.408800,1185.189600,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0024,1983,2040.184000,1425.160400,1432.006800,1727.396400,1434.189200,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0025,1983,1653.087600,1564.354400,1564.370400,1621.426000,1550.068000,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0026,1983,1769.389600,1286.770800,1289.735200,1655.275200,1308.659600,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0027,1983,1752.833600,909.309600,838.866000,1041.454800,803.994000,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0028,1983,804.369600,714.086000,721.081200,778.310000,730.334800,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,302,c09_storm2_w80_u90_0029,1983,3061.778400,2795.002400,2804.040000,3003.177600,2856.388000,0.2837,0.0138
full_class_shift,9,90,1.0,0.25,303,c09_storm2_w80_u90_0020,1983,2177.667200,1442.505200,1463.216000,2154.681600,1504.394400,0.2847,0.0097
full_class_shift,9,90,1.0,0.25,303,c09_storm2_w80_u90_0021,1983,1754.070800,1712.989600,1712.989600,1719.228400,1724.693600,0.2847,0.0097
